NV Index, Max Separation, Step Val (Separation), Min chi_squared, Step Val (chi_squared)
121, 9.458288, 1.140000, 0.000334, 1.180000
122, 6.811590, 1.120000, 0.000423, 1.200000
123, 6.261184, 1.180000, 0.000356, 0.840000
124, 2.286438, 1.200000, 0.000292, 0.860000
125, 8.089152, 1.040000, 0.000428, 1.180000
126, 1.406139, 1.200000, 0.000249, 0.800000
127, 8.163004, 1.200000, 0.000315, 1.200000
128, 5.919128, 1.160000, 0.000354, 1.140000
129, 4.378038, 1.200000, 0.000324, 1.140000
130, 0.642749, 1.200000, 0.000222, 1.160000
131, 4.245065, 1.200000, 0.000389, 1.200000
132, 7.389499, 1.100000, 0.000284, 1.160000
133, 8.505746, 1.160000, 0.000274, 1.200000
134, 3.498305, 1.200000, 0.000334, 1.000000
135, 2.511558, 1.200000, 0.000272, 1.140000
136, 4.595200, 1.180000, 0.000402, 0.900000
137, 3.919106, 1.200000, 0.000316, 1.120000
138, 5.475906, 1.200000, 0.000309, 0.880000
139, 1.226205, 1.200000, 0.000311, 1.120000
140, 9.198831, 1.160000, 0.000409, 1.200000
141, 6.114015, 1.180000, 0.000353, 1.140000
142, 3.883339, 1.200000, 0.000343, 0.900000
143, 4.315817, 1.100000, 0.000396, 1.200000
144, 3.947943, 1.180000, 0.000329, 0.880000
145, 4.542474, 1.200000, 0.000343, 1.080000
146, 9.102232, 1.140000, 0.000346, 1.200000
147, 7.124233, 1.120000, 0.000393, 1.180000
148, 1.005627, 1.160000, 0.000267, 0.840000
149, 2.218115, 1.200000, 0.000314, 0.800000
150, 3.571253, 1.200000, 0.000299, 1.040000
151, 5.992350, 1.200000, 0.000327, 1.200000
152, 7.369810, 1.160000, 0.000305, 1.200000
153, 11.346366, 1.140000, 0.000362, 1.200000
154, 9.299848, 1.200000, 0.000377, 1.200000
155, 1.013899, 1.200000, 0.000295, 0.800000
156, 0.369320, 1.160000, 0.000281, 0.840000
157, 2.487379, 1.200000, 0.000350, 0.820000
158, 5.661042, 1.200000, 0.000335, 1.140000
159, 1.562335, 1.160000, 0.000293, 0.840000
